OID_,Join_Count,TARGET_FID,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,periode_data,wilayah,kecamatan_1,kelurahan,nama_halte,lokasi,koordinat_x,koordinat_y,halte_ratio,isDense,Shape_Length,Shape_Area
17,0,77,25550.000000000000000,3174061003,PONDOK LABU,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,55767.000000000000000,17149.000000000000000,3.550000000000000,15708.000000000000000,25549.000000000000000,3174061003,PONDOK LABU,317406.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10177.506717370133629,3447236.815001999493688
18,0,85,25572.000000000000000,3174091004,LENTENG AGUNG,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,65606.000000000000000,20592.000000000000000,3.190000000000000,20548.000000000000000,25571.000000000000000,3174091004,LENTENG AGUNG,317409.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,14140.110639239206648,3153384.849225522018969
19,0,86,25569.000000000000000,3174091001,JAGAKARSA,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,75047.000000000000000,23205.000000000000000,5.250000000000000,14284.000000000000000,25568.000000000000000,3174091001,JAGAKARSA,317409.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,12816.427393230045709,5184626.335635861381888
20,0,88,25576.000000000000000,3174101002,BINTARO,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,63832.000000000000000,20047.000000000000000,4.480000000000000,14246.000000000000000,25575.000000000000000,3174101002,BINTARO,317410.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,13392.000943686325627,4416284.525733141228557
21,0,101,25611.000000000000000,3175051004,KALISARI,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,52424.000000000000000,15632.000000000000000,2.630000000000000,19939.000000000000000,25610.000000000000000,3175051004,KALISARI,317505.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10247.482490617965595,2153483.474433002527803
22,0,102,25620.000000000000000,3175071001,DUREN SAWIT,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,74118.000000000000000,22836.000000000000000,4.160000000000000,17819.000000000000000,25619.000000000000000,3175071001,DUREN SAWIT,317507.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,9310.925623080831429,4111956.543425994459540
23,0,106,25629.000000000000000,3175081003,KEBON PALA,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,57830.000000000000000,18815.000000000000000,2.090000000000000,27727.000000000000000,25628.000000000000000,3175081003,KEBON PALA,317508.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,8296.877897434038459,2061616.822530299192294
24,0,107,25632.000000000000000,3175091001,CIRACAS,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,78952.000000000000000,25108.000000000000000,3.570000000000000,22119.000000000000000,25631.000000000000000,3175091001,CIRACAS,317509.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,9446.996485738933188,3527387.948746294714510
25,0,144,25431.000000000000000,3172011004,PEJAGALAN,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,90327.000000000000000,29979.000000000000000,3.720000000000000,24251.000000000000000,25430.000000000000000,3172011004,PEJAGALAN,317201.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10455.023775555308021,3683039.426168598700315
26,0,148,25447.000000000000000,3172041002,SUKAPURA,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,69673.000000000000000,23836.000000000000000,5.880000000000000,11855.000000000000000,25446.000000000000000,3172041002,SUKAPURA,317204.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,9753.889975109710576,5812214.039972332306206
