OID_,Name,TargetFacilityCount,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_WalkTime,Attr_Length,Cutoff_WalkTime,Cutoff_Length
1,Location 1,,1,8234,0.484700641321554,2,0,0,11890507.522111782804132,-686081.857342011178844,0.000000000000000,17.967187855755427,0.000000000000000,0.000000000000000,,
2,Location 2,,1,4538,0.333960393573554,1,0,0,11890393.263395462185144,-685357.467852198518813,0.000000000000000,17.287976833630928,0.000000000000000,0.000000000000000,,
3,Location 3,,1,12263,0.408943004808567,1,0,0,11895133.589898861944675,-688227.762200308381580,0.000000000000000,3.848072863163251,0.000000000000000,0.000000000000000,,
4,Location 4,,1,15831,0.636639729968484,2,0,0,11895901.284100506454706,-687967.347858850145712,0.000000000000000,6.779454344373816,0.000000000000000,0.000000000000000,,
5,Location 5,,1,16810,0.146381417637705,1,0,0,11892749.931358536705375,-687739.092077044537291,0.000000000000000,9.574155558188037,0.000000000000000,0.000000000000000,,
6,Location 6,,1,13349,0.801484307058029,2,0,0,11892169.788600001484156,-686349.239900000393391,0.000000000000000,63.420917255653464,0.000000000000000,0.000000000000000,,
7,Location 7,,1,13738,0.402875329090141,1,0,0,11892069.539842866361141,-685033.151001857826486,0.000000000000000,14.926380532981968,0.000000000000000,0.000000000000000,,
8,Location 8,,1,13580,0.567457775496266,2,0,0,11890618.638613997027278,-687655.160667223855853,0.000000000000000,2.063091558610379,0.000000000000000,0.000000000000000,,
9,Location 9,,1,15627,0.269970184450627,2,0,0,11893304.321077028289437,-688865.663727090926841,0.000000000000000,8.900604921892690,0.000000000000000,0.000000000000000,,
10,Location 10,,1,15999,0.119991769293442,2,0,0,11894235.796657145023346,-688371.354799532913603,0.000000000000000,21.087398295089795,0.000000000000000,0.000000000000000,,
11,Location 11,,1,15839,0.293401148073237,2,0,0,11896901.956727821379900,-688819.918516873382032,0.000000000000000,25.892129963560741,0.000000000000000,0.000000000000000,,
12,Location 12,,1,12716,0.917355630657055,2,0,0,11896186.950144451111555,-690405.895660859066993,0.000000000000000,11.478548249260331,0.000000000000000,0.000000000000000,,
13,Location 13,,1,14730,0.667204997325663,2,0,0,11892700.117188753560185,-691577.357707333052531,0.000000000000000,56.281352351200461,0.000000000000000,0.000000000000000,,
14,Location 14,,1,16621,0.566544147933943,1,0,0,11893210.526490524411201,-690629.816745560965501,0.000000000000000,113.124359451054517,0.000000000000000,0.000000000000000,,
15,Location 15,,1,16310,0.693861616874763,2,0,0,11889529.721799999475479,-691499.540199998766184,0.000000000000000,102.263032572528274,0.000000000000000,0.000000000000000,,
16,Location 16,,1,12912,0.384754312519839,1,0,0,11890692.812417922541499,-691367.120719627011567,0.000000000000000,158.401766975731476,0.000000000000000,0.000000000000000,,
17,Location 17,,1,15456,0.405495411103464,1,0,0,11895119.767741762101650,-689249.149161447072402,0.000000000000000,8.798976141985577,0.000000000000000,0.000000000000000,,
18,Location 18,,1,46423,0.480580828380208,1,0,0,11901392.508785381913185,-683070.910384033923037,0.000000000000000,14.369298005329490,0.000000000000000,0.000000000000000,,
19,Location 19,,1,50864,0.083539208772331,1,0,0,11881986.162883689627051,-681658.805699166608974,0.000000000000000,237.019237105033937,0.000000000000000,0.000000000000000,,
20,Location 20,,1,49293,0.670731053768853,1,0,0,11887255.835897648707032,-682330.258644078625366,0.000000000000000,24.790143246020627,0.000000000000000,0.000000000000000,,
21,Location 21,,1,51456,0.550522290900641,1,0,0,11901208.620384428650141,-681898.181286827893928,0.000000000000000,20.576930821738053,0.000000000000000,0.000000000000000,,
22,Location 22,,1,55310,0.284160795516429,2,0,0,11897530.738762436434627,-683959.365649772342294,0.000000000000000,16.935055839020229,0.000000000000000,0.000000000000000,,
23,Location 23,,1,46273,0.542452262215982,2,0,0,11898499.250326849520206,-684268.734702033223584,0.000000000000000,144.640064111213462,0.000000000000000,0.000000000000000,,
24,Location 24,,1,50893,0.508141790833931,1,0,0,11898823.043448027223349,-682492.575753261800855,0.000000000000000,21.348559355858260,0.000000000000000,0.000000000000000,,
25,Location 25,,1,53889,0.736296256354164,1,0,0,11897566.510917540639639,-682781.793330996646546,0.000000000000000,11.910023895815460,0.000000000000000,0.000000000000000,,
26,Location 26,,1,57818,0.478370748665208,2,0,0,11899973.787683509290218,-681042.898414973751642,0.000000000000000,64.038572479067426,0.000000000000000,0.000000000000000,,
27,Location 27,,1,48159,0.435732745225391,1,0,0,11901177.780482051894069,-684210.826814763597213,0.000000000000000,90.574473229631792,0.000000000000000,0.000000000000000,,
28,Location 28,,1,46999,0.481870515689110,1,0,0,11899901.319587687030435,-683874.074691769550554,0.000000000000000,12.207687426827754,0.000000000000000,0.000000000000000,,
29,Location 29,,1,51931,1.000000000000000,1,0,0,11905966.597699999809265,-682706.251899998635054,0.000000000000000,657.450126714977387,0.000000000000000,0.000000000000000,,
30,Location 30,,1,3333,0.448551190316777,2,0,0,11886223.687959756702185,-686478.731002152897418,0.000000000000000,3.289830651527311,0.000000000000000,0.000000000000000,,
31,Location 31,,1,48799,0.580087226230483,2,0,0,11901657.552238740026951,-680828.425506075960584,0.000000000000000,59.169024577846450,0.000000000000000,0.000000000000000,,
32,Location 32,,1,50583,0.179689822383752,2,0,0,11906234.370854878798127,-685325.749224233906716,0.000000000000000,12.960726959639072,0.000000000000000,0.000000000000000,,
33,Location 33,,1,54998,0.077068832868968,2,0,0,11903040.049400001764297,-683727.287000000476837,0.000000000000000,39.450729439553172,0.000000000000000,0.000000000000000,,
34,Location 34,,1,50555,0.866090064299176,1,0,0,11894273.192818630486727,-684865.880031620617956,0.000000000000000,69.422748455296542,0.000000000000000,0.000000000000000,,
35,Location 35,,1,52377,0.639747734492028,2,0,0,11893012.469900000840425,-684185.065900001674891,0.000000000000000,56.533049456718551,0.000000000000000,0.000000000000000,,
36,Location 36,,1,48659,0.975957916232262,2,0,0,11891605.636008745059371,-683353.854739171918482,0.000000000000000,10.473961375476094,0.000000000000000,0.000000000000000,,
37,Location 37,,1,46030,0.650124122260559,1,0,0,11900437.492443127557635,-687985.459179659839720,0.000000000000000,12.270962905390547,0.000000000000000,0.000000000000000,,
