OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_WalkTime,Total_Length,Shape_Length
157,132,1,Location 157 - 132,1,2,157,,,,,11.666439629443868,972.137561377496581,980.259805651461193
158,2,1,Location 158 - 2,1,1,158,,,,,7.024129242368702,585.284265827248646,589.903981188578086
159,7,1,Location 159 - 7,2,2,159,,,,,12.660235706816366,1054.912061964763325,1063.526807891080352
160,168,1,Location 160 - 168,1,1,160,,,,,9.609008061184216,800.680790292788515,808.912913441520232
161,181,1,Location 161 - 181,2,1,161,,,,,6.936596166908394,577.998767853292520,583.864067505688126
162,9,1,Location 162 - 9,1,1,162,,,,,1.987600196860445,165.616980256173662,167.463639798390545
163,7,1,Location 163 - 7,2,1,163,,,,,15.623827502141134,1301.858056154320366,1312.473582812190898
164,30,1,Location 164 - 30,1,1,164,,,,,19.432065348374689,1619.191923809412174,1633.070137300818487
165,30,1,Location 165 - 30,1,1,165,,,,,16.818292914689501,1401.396437349614871,1411.670848496848294
166,5,1,Location 166 - 5,1,2,166,,,,,11.791431686011657,982.522677351809307,989.296988106375579
167,30,1,Location 167 - 30,2,1,167,,,,,4.069432320900654,339.089180440923599,341.375771455032691
168,31,1,Location 168 - 31,2,2,168,,,,,5.929580897088069,494.088297766999290,498.652974994416923
169,207,1,Location 169 - 207,2,2,169,,,,,14.135659309428585,1177.862356437480457,1190.802951108523075
170,207,1,Location 170 - 207,1,2,170,,,,,5.091609821159519,424.261469577178161,427.932214271415091
171,38,1,Location 171 - 38,2,1,171,,,,,5.858856901520746,488.190881075386301,492.672618390281514
172,231,1,Location 173 - 231,2,1,173,,,,,15.661897082080616,1304.973616837964528,1317.533549802909874
173,48,1,Location 174 - 48,2,1,174,,,,,14.319485245664977,1193.200929841894776,1205.224722688532438
174,39,1,Location 175 - 39,1,2,175,,,,,12.710618599657924,1059.176566777721064,1068.207211989876214
175,39,1,Location 176 - 39,2,2,176,,,,,27.836963784522428,2319.653413741070381,2343.654586700701202
176,39,1,Location 177 - 39,1,2,177,,,,,62.980741098769876,5248.182633902399175,5303.204346356987116
177,39,1,Location 178 - 39,2,2,178,,,,,90.317091117174527,7526.122055908741459,7603.059008015738982
178,193,1,Location 179 - 193,2,2,179,,,,,12.521358406689808,1043.351268132624909,1052.895156404785894
179,145,1,Location 180 - 145,1,2,180,,,,,11.054118536654590,921.091539155816349,931.298425560002784
180,145,1,Location 181 - 145,2,2,181,,,,,5.084223606690646,423.646254874889223,427.665251116380659
181,193,1,Location 182 - 193,1,2,182,,,,,7.857090254685412,654.700087358339829,658.690706692770846
182,201,1,Location 183 - 201,2,2,183,,,,,60.986267199510493,5081.887774828231159,5130.271626188519804
183,81,1,Location 184 - 81,1,2,184,,,,,16.475381618581462,1372.788645554958521,1385.950943445226585
184,201,1,Location 185 - 201,2,2,185,,,,,41.059798455988130,3421.437814454282943,3454.147175206143402
185,242,1,Location 186 - 242,2,2,186,,,,,36.328091216528030,3027.133782710901414,3051.182525326215000
186,196,1,Location 187 - 196,1,2,187,,,,,16.677612279053267,1389.630523765929411,1403.490665716577496
187,257,1,Location 188 - 257,2,1,188,,,,,9.205633560958731,767.036367651089222,772.971515845376871
188,236,1,Location 189 - 236,1,1,189,,,,,18.369084028066002,1530.586223740481046,1544.260766145752996
189,196,1,Location 190 - 196,1,2,190,,,,,9.299705147033297,774.879603181699622,783.073110966740842
190,199,1,Location 191 - 199,1,1,191,,,,,17.409944353636590,1450.654162603978421,1465.097924380232371
191,57,1,Location 192 - 57,2,2,192,,,,,8.604297611246126,716.948237199366417,723.486642920658028
192,26,1,Location 193 - 26,2,1,193,,,,,9.614609025515325,801.132200463526488,807.487566536834038
193,163,1,Location 194 - 163,2,2,194,,,,,18.879963710809157,1573.172990316845016,1588.869276528765340
194,241,1,Location 195 - 241,2,1,195,,,,,7.891534001498224,657.558126549573672,663.962460489769910
195,62,1,Location 196 - 62,1,2,196,,,,,3.403467106345365,283.593036037362481,286.458863351818991
196,26,1,Location 197 - 26,1,1,197,,,,,24.673020956974895,2055.861036085597334,2071.723505340161864
197,237,1,Location 198 - 237,1,2,198,,,,,15.417446169518829,1284.658398069722807,1294.004279912242282
198,118,1,Location 199 - 118,1,1,199,,,,,16.324822858109972,1360.296972473292954,1373.652906348586384
199,105,1,Location 200 - 105,1,1,200,,,,,15.513813051743650,1292.712037629424685,1303.604359663999730
200,133,1,Location 201 - 133,2,1,201,,,,,6.222988551853716,518.541001525675597,521.972257007239818
201,116,1,Location 202 - 116,2,1,202,,,,,29.260644547454511,2438.181530952511366,2456.620259239251482
202,65,1,Location 203 - 65,2,1,203,,,,,21.456326031925887,1787.887531298673366,1806.420629312124220
203,208,1,Location 204 - 208,2,2,204,,,,,6.754720537747586,562.841652649316302,568.388638962235632
204,218,1,Location 205 - 218,2,1,205,,,,,9.568611124691721,797.313906654100492,802.767851325135439
205,72,1,Location 206 - 72,2,2,206,,,,,5.451472079070724,454.250155201074847,459.040340905853498
206,144,1,Location 207 - 144,2,1,207,,,,,10.648227018156838,887.268996999370415,895.972756495155750
207,163,1,Location 208 - 163,2,1,208,,,,,6.424561912396756,535.327258528353696,540.236202410655324
208,144,1,Location 209 - 144,1,2,209,,,,,8.607019308792095,717.182696276345609,723.859850929531945
209,208,1,Location 210 - 208,2,2,210,,,,,35.952547518058125,2995.763002233171392,3026.242420851475799
210,81,1,Location 211 - 81,2,2,211,,,,,9.176183185408370,764.594307190172572,772.347327190530677
211,21,1,Location 212 - 21,1,1,212,,,,,17.513002521759397,1459.258048121110278,1471.197476588741893
212,138,1,Location 213 - 138,1,1,213,,,,,12.940447518908750,1078.240833693294235,1089.254413482389964
213,138,1,Location 214 - 138,2,1,214,,,,,4.068089144794911,338.966729051608752,341.996433695890460
214,162,1,Location 215 - 162,1,2,215,,,,,79.517901002185170,6625.792911188784274,6696.089944732982985
215,162,1,Location 216 - 162,2,2,216,,,,,55.376074566522391,4614.219920613895738,4662.709881331620636
216,247,1,Location 217 - 247,1,2,217,,,,,27.689272930276001,2307.158246651597892,2323.392019390357746
217,233,1,Location 218 - 233,2,2,218,,,,,33.635848375502178,2802.788662148120693,2833.043867113876786
218,36,1,Location 219 - 36,1,1,219,,,,,15.939267717392008,1328.184564389202478,1341.604711107633193
219,209,1,Location 220 - 209,1,1,220,,,,,11.482766352320386,956.757451935979361,965.684356857952025
220,233,1,Location 221 - 233,1,2,221,,,,,5.590963145865466,465.880386293867048,469.728079301781293
221,121,1,Location 222 - 121,2,2,222,,,,,7.484173389477262,623.600371140668017,629.633613479199425
222,141,1,Location 223 - 141,2,2,223,,,,,9.016268531469480,751.262448726347657,757.010014377874199
223,141,1,Location 224 - 141,2,2,224,,,,,4.339718652313114,361.598757515538693,365.120208826863177
224,127,1,Location 225 - 127,2,1,225,,,,,5.092115968118049,424.284638522461876,428.665786953689178
225,161,1,Location 226 - 161,2,2,226,,,,,13.245588987886414,1103.649402825619063,1111.746429834417540
226,49,1,Location 227 - 49,2,2,227,,,,,3.596162635893309,299.643060421359678,302.017930901738509
227,257,1,Location 228 - 257,1,1,228,,,,,0.644837719724659,53.729555684121564,54.344022681141986
228,27,1,Location 229 - 27,2,2,229,,,,,4.580565714791312,381.664819188841648,385.297656695463161
229,91,1,Location 230 - 91,1,1,230,,,,,12.563305979320944,1046.807503794538889,1057.660998920225438
230,91,1,Location 231 - 91,1,1,231,,,,,23.339965201199739,1944.744613748433949,1963.201328225526595
231,91,1,Location 232 - 91,2,1,232,,,,,22.334407294154857,1860.965982071467806,1878.721402773722048
232,211,1,Location 233 - 211,1,1,233,,,,,17.811891850041967,1484.133665092274441,1498.157424190593019
233,247,1,Location 234 - 247,1,2,234,,,,,12.976254672973072,1081.219393319816845,1090.118558129274106
234,247,1,Location 235 - 247,1,2,235,,,,,38.071582344911945,3172.244958168987523,3201.348996573618933
235,247,1,Location 236 - 247,1,2,236,,,,,27.325457890927641,2276.836842060867184,2301.199072935844470
236,53,1,Location 237 - 53,2,2,237,,,,,4.940799896076006,411.683059652424106,414.825805527180307
237,35,1,Location 238 - 35,1,2,238,,,,,12.292161059902455,1024.226148303017453,1034.654435066687256
238,247,1,Location 239 - 247,2,2,239,,,,,61.477089555396468,5122.439070965159772,5181.019666120932015
239,42,1,Location 240 - 42,1,1,240,,,,,17.803540432156272,1483.398080988397396,1498.971369761309006
240,122,1,Location 241 - 122,1,2,241,,,,,15.563604516490578,1296.763278120886298,1310.562587379797833
241,102,1,Location 242 - 102,1,2,242,,,,,14.171975074038004,1180.798503912540809,1193.199222447440889
242,219,1,Location 243 - 219,2,1,243,,,,,26.917203783604791,2242.708018199472008,2265.044552083579219
243,124,1,Location 244 - 124,1,2,244,,,,,16.296939333967565,1357.837363406295708,1370.712727809952185
244,166,1,Location 245 - 166,2,2,245,,,,,15.792869132198998,1315.832369876423627,1327.555945706775447
245,219,1,Location 246 - 219,2,1,246,,,,,19.743158007320979,1644.983070131195063,1660.897590138558598
246,195,1,Location 247 - 195,1,2,247,,,,,34.906826859906417,2908.474822313105051,2940.340841381315840
247,102,1,Location 248 - 102,2,1,248,,,,,45.108843243081260,3758.438007425391334,3800.855303964855921
