OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,GENERATED,KODE_DES_1,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,SUM_Covered_Area,CoverageRate,Pop_Terlayani,PCSB_Persen,Shape_Length,Shape_Area
15,25420.000000000000000,3171071004,PETAMBURAN,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,43497.000000000000000,14074.000000000000000,0.890000000000000,48691.000000000000000,30 Juni 2019,3171071004,25419.000000000000000,3171071004,PETAMBURAN,317107.000000000000000,227199.962978311086772,0.257257933749201,11189.948344288997760,25.725793374920102,4759.343477887322479,883160.179662647075020
16,25421.000000000000000,3171071005,KEBON MELATI,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41344.000000000000000,14045.000000000000000,1.260000000000000,32685.000000000000000,30 Juni 2019,3171071005,25420.000000000000000,3171071005,KEBON MELATI,317107.000000000000000,314436.520522557664663,0.251443005503950,10395.659619555324753,25.144300550395037,4709.583563366212729,1250528.006918807979673
17,25425.000000000000000,3171081002,KAMPUNG RAWA,317108.000000000000000,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27348.000000000000000,8426.000000000000000,0.290000000000000,94196.000000000000000,30 Juni 2019,3171081002,25424.000000000000000,3171081002,KAMPUNG RAWA,317108.000000000000000,46175.685715910949511,0.160857348253219,4399.126760029043908,16.085734825321939,2670.708982813179318,287059.846611556888092
18,25441.000000000000000,3172031002,TUGU UTARA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,86287.000000000000000,27656.000000000000000,2.340000000000000,36802.000000000000000,30 Juni 2019,3172031002,25440.000000000000000,3172031002,TUGU UTARA,317203.000000000000000,,,,,6602.686487289914112,2318839.430665773805231
19,25429.000000000000000,3172011002,KAMAL MUARA,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,15051.000000000000000,4763.000000000000000,11.359999999999999,1325.000000000000000,30 Juni 2019,3172011002,25428.000000000000000,3172011002,KAMAL MUARA,317201.000000000000000,,,,,17216.481483168288833,11107915.313722677528858
20,25432.000000000000000,3172011005,PLUIT,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,55885.000000000000000,18463.000000000000000,7.790000000000000,7177.000000000000000,30 Juni 2019,3172011005,25431.000000000000000,3172011005,PLUIT,317201.000000000000000,1387274.140546700917184,0.180163369658211,10068.429913349127673,18.016336965821111,25840.271383631472418,7268151.215502506121993
21,25442.000000000000000,3172031003,LAGOA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,74851.000000000000000,24071.000000000000000,1.590000000000000,47005.000000000000000,30 Juni 2019,3172031003,25441.000000000000000,3172031003,LAGOA,317203.000000000000000,,,,,5470.371244789178490,1574959.728502466576174
22,25435.000000000000000,3172021003,PAPANGGO,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49062.000000000000000,15724.000000000000000,3.060000000000000,16033.000000000000000,30 Juni 2019,3172021003,25434.000000000000000,3172021003,PAPANGGO,317202.000000000000000,214674.041413685947191,0.070940563318724,3480.485917543237974,7.094056331872402,8610.923148769468753,3026111.315749921835959
23,25436.000000000000000,3172021004,SUNGAI BAMBU,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37423.000000000000000,12456.000000000000000,2.350000000000000,15943.000000000000000,30 Juni 2019,3172021004,25435.000000000000000,3172021004,SUNGAI BAMBU,317202.000000000000000,417784.905599381774664,0.179973736556800,6735.157143165143680,17.997373655680047,9347.232553361247483,2321365.959235541522503
24,25437.000000000000000,3172021005,KEBON BAWANG,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64447.000000000000000,21229.000000000000000,1.750000000000000,36888.000000000000000,30 Juni 2019,3172021005,25436.000000000000000,3172021005,KEBON BAWANG,317202.000000000000000,800366.507250146009028,0.463208549794409,29852.401408600297145,46.320854979440931,5662.868185259433631,1727875.073992872145027
25,25439.000000000000000,3172021007,WARAKAS,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56502.000000000000000,18648.000000000000000,1.080000000000000,52152.000000000000000,30 Juni 2019,3172021007,25438.000000000000000,3172021007,WARAKAS,317202.000000000000000,,,,,4305.721531274255540,1071450.348061982309446
