OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,Shape_Length,Shape_Area,Point_Count
104,25626.000000000000000,3175071007,PONDOK KOPI,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,43303.000000000000000,13320.000000000000000,1.990000000000000,21797.000000000000000,6560.369747358216046,1964068.670216254191473,0
105,25628.000000000000000,3175081002,PINANGRANTI,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANGRANTI,33350.000000000000000,10630.000000000000000,2.310000000000000,14466.000000000000000,8331.266368136433812,2278597.547312342561781,2
106,25629.000000000000000,3175081003,KEBON PALA,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,57830.000000000000000,18815.000000000000000,2.090000000000000,27727.000000000000000,8296.877897434038459,2061616.822530299192294,0
107,25632.000000000000000,3175091001,CIRACAS,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,78952.000000000000000,25108.000000000000000,3.570000000000000,22119.000000000000000,9446.996485738933188,3527387.948746294714510,0
108,25637.000000000000000,3175101001,CIPAYUNG,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,31625.000000000000000,9405.000000000000000,2.950000000000000,10721.000000000000000,9711.273983421933735,2914979.469681956339628,0
109,25395.000000000000000,3171031001,KEMAYORAN,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,26177.000000000000000,8758.000000000000000,0.600000000000000,43687.000000000000000,3314.587449839693363,592464.781460122321732,0
110,25402.000000000000000,3171031008,UTAN PANJANG,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,37531.000000000000000,12423.000000000000000,0.540000000000000,68902.000000000000000,3435.094563362372355,538590.708073250600137,0
111,25587.000000000000000,3175021002,PISANGAN TIMUR,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,PISANGAN TIMUR,50332.000000000000000,16400.000000000000000,1.880000000000000,26838.000000000000000,6214.651099965474714,1854092.172513355035335,3
112,25443.000000000000000,3172031004,RAWA BADAK UTARA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,43557.000000000000000,13814.000000000000000,1.290000000000000,33823.000000000000000,5721.043946373983090,1273636.090444300323725,3
113,25469.000000000000000,3173021005,TANJUNG DUREN SELATAN,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,30306.000000000000000,10595.000000000000000,1.320000000000000,22916.000000000000000,4558.560231033391574,1307492.097468298627064,0
114,25470.000000000000000,3173021006,JELAMBAR BARU,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,46743.000000000000000,15149.000000000000000,1.450000000000000,32326.000000000000000,5501.836327630902815,1429767.254679478239268,0
115,25396.000000000000000,3171031002,KEBON KOSONG,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,37472.000000000000000,12691.000000000000000,1.010000000000000,37190.000000000000000,5665.664477615046053,996298.595299792592414,2
116,25398.000000000000000,3171031004,SERDANG,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,37782.000000000000000,12189.000000000000000,0.820000000000000,45901.000000000000000,3620.366596106591714,813915.218460140749812,0
117,25399.000000000000000,3171031005,GUNUNG SAHARI SELATAN,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,24164.000000000000000,8164.000000000000000,1.570000000000000,15376.000000000000000,6980.523218956306664,1553944.136615398339927,2
118,25401.000000000000000,3171031007,SUMUR BATU,317103.000000000000000,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,28834.000000000000000,9575.000000000000000,1.160000000000000,24918.000000000000000,5072.023392113074806,1144224.142750702565536,1
119,25388.000000000000000,3171011005,KEBON KELAPA,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,12858.000000000000000,4608.000000000000000,0.790000000000000,16184.000000000000000,3772.309594732484129,785575.247039164532907,2
120,25389.000000000000000,3171011006,DURI PULO,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,25256.000000000000000,8005.000000000000000,0.690000000000000,36500.000000000000000,4057.832017576563885,684152.824606963433325,0
121,25392.000000000000000,3171021003,KARTINI,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,28269.000000000000000,9786.000000000000000,0.570000000000000,49718.000000000000000,3303.512043999841353,562225.750251498888247,0
122,25393.000000000000000,3171021004,GUNUNG SAHARI UTARA,317102.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,20677.000000000000000,7103.000000000000000,1.320000000000000,15709.000000000000000,6362.386672931467729,1301528.263591265073046,1
123,25384.000000000000000,3171011001,GAMBIR,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,3088.000000000000000,1088.000000000000000,2.560000000000000,1208.000000000000000,7733.395313356119004,2527182.142279361374676,6
124,25385.000000000000000,3171011002,CIDENG,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,19216.000000000000000,6644.000000000000000,1.270000000000000,15157.000000000000000,6033.181531911062848,1253463.554246288491413,2
125,25387.000000000000000,3171011004,PETOJO SELATAN,317101.000000000000000,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,18388.000000000000000,6512.000000000000000,1.150000000000000,16005.000000000000000,4547.632298283338059,1135946.425385176436976,1
126,25404.000000000000000,3171041002,KENARI,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,11582.000000000000000,3953.000000000000000,0.910000000000000,12796.000000000000000,5661.649936306759628,894886.927337933680974,0
127,25405.000000000000000,3171041003,PASEBAN,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,29659.000000000000000,10217.000000000000000,0.850000000000000,35007.000000000000000,3945.584930185268149,837642.913052264251746,3
128,25406.000000000000000,3171041004,KRAMAT,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,36350.000000000000000,12284.000000000000000,0.710000000000000,50894.000000000000000,3929.558464590776111,706164.770110891549848,3
129,25407.000000000000000,3171041005,KWITANG,317104.000000000000000,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,19303.000000000000000,6493.000000000000000,0.450000000000000,42463.000000000000000,3050.208351089592270,449449.076416732161306,0
130,25410.000000000000000,3171051002,CEMPAKA PUTIH BARAT,317105.000000000000000,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,44664.000000000000000,14674.000000000000000,1.270000000000000,35280.000000000000000,5573.692787468423376,1251729.850183048984036,2
131,25413.000000000000000,3171061002,PEGANGSAAN,317106.000000000000000,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,29254.000000000000000,9304.000000000000000,0.970000000000000,30263.000000000000000,5401.430539237048833,955678.357634157175198,0
132,25415.000000000000000,3171061004,GONDANGDIA,317106.000000000000000,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,4956.000000000000000,1603.000000000000000,1.490000000000000,3320.000000000000000,5599.656604523851456,1475940.311075160047039,2
133,25416.000000000000000,3171061005,KEBON SIRIH,317106.000000000000000,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,15702.000000000000000,5360.000000000000000,0.870000000000000,17981.000000000000000,5569.129987996903765,863355.161211176542565,1
134,25417.000000000000000,3171071001,GELORA,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,4002.000000000000000,1386.000000000000000,3.380000000000000,1185.000000000000000,8686.819972529676306,3338726.136308042798191,3
135,25418.000000000000000,3171071002,BENDUNGAN HILIR,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,27144.000000000000000,9675.000000000000000,1.600000000000000,16935.000000000000000,6387.761676709434141,1584469.404124525841326,1
136,25419.000000000000000,3171071003,KARET TENGSIN,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,24318.000000000000000,8260.000000000000000,1.550000000000000,15721.000000000000000,5216.820474288491823,1529170.789699384709820,0
137,25422.000000000000000,3171071006,KEBON KACANG,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,27319.000000000000000,9215.000000000000000,0.740000000000000,36778.000000000000000,4021.304641021230509,734369.830585741787218,0
138,25423.000000000000000,3171071007,KAMPUNG BALI,317107.000000000000000,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,14889.000000000000000,4829.000000000000000,0.700000000000000,21349.000000000000000,3687.958018988693311,689515.908220610115677,2
139,25424.000000000000000,3171081001,JOHAR BARU,317108.000000000000000,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,46777.000000000000000,14923.000000000000000,1.180000000000000,39495.000000000000000,4394.465311725753963,1171003.388035245239735,0
140,25426.000000000000000,3171081003,GALUR,317108.000000000000000,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,23288.000000000000000,7262.000000000000000,0.290000000000000,81435.000000000000000,2348.839204343602432,282749.559252206876408,0
141,25427.000000000000000,3171081004,TANAH TINGGI,317108.000000000000000,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,48219.000000000000000,15472.000000000000000,0.630000000000000,76331.000000000000000,3713.281118261485517,624589.455344439717010,0
142,25428.000000000000000,3172011001,PENJARINGAN,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,109567.000000000000000,37764.000000000000000,4.620000000000000,23723.000000000000000,16903.031410543775564,4521932.757327208295465,3
143,25430.000000000000000,3172011003,KAPUK MUARA,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,43025.000000000000000,13492.000000000000000,9.160000000000000,4697.000000000000000,13862.089879668797948,9047584.333072025328875,0
144,25431.000000000000000,3172011004,PEJAGALAN,317201.000000000000000,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,90327.000000000000000,29979.000000000000000,3.720000000000000,24251.000000000000000,10455.023775555308021,3683039.426168598700315,0
145,25433.000000000000000,3172021001,TANJUNG PRIOK,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,43623.000000000000000,14703.000000000000000,3.760000000000000,11602.000000000000000,22259.994526759484870,3658636.262581649702042,2
146,25434.000000000000000,3172021002,SUNTER JAYA,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,77553.000000000000000,24694.000000000000000,5.210000000000000,14878.000000000000000,10171.218586686816707,5154572.540869776159525,1
147,25438.000000000000000,3172021006,SUNTER AGUNG,317202.000000000000000,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,87165.000000000000000,28069.000000000000000,5.320000000000000,16395.000000000000000,11111.860951546581418,5257640.533831217326224,6
148,25447.000000000000000,3172041002,SUKAPURA,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,69673.000000000000000,23836.000000000000000,5.880000000000000,11855.000000000000000,9753.889975109710576,5812214.039972332306206,0
149,25448.000000000000000,3172041003,MARUNDA,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,35650.000000000000000,10575.000000000000000,7.730000000000000,4613.000000000000000,15312.591674726534620,7506740.530136393383145,0
150,25450.000000000000000,3172041005,SEMPER TIMUR,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,44903.000000000000000,14416.000000000000000,4.290000000000000,10461.000000000000000,9241.262697669511908,4245432.166312962770462,0
151,25472.000000000000000,3173031001,TAMAN SARI,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,17509.000000000000000,5969.000000000000000,0.600000000000000,28948.000000000000000,3241.568999728228846,598074.818221168126911,0
152,25473.000000000000000,3173031002,KRUKUT,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,23821.000000000000000,7843.000000000000000,0.610000000000000,38926.000000000000000,3246.477496485555548,605088.217212385265157,1
153,25457.000000000000000,3172061002,PEGANGSAAN DUA,317206.000000000000000,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,59468.000000000000000,19536.000000000000000,5.590000000000000,10645.000000000000000,13515.299016174472854,5524076.242916449904442,0
154,25458.000000000000000,3172061003,KELAPA GADING BARAT,317206.000000000000000,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,42264.000000000000000,13690.000000000000000,7.510000000000000,5627.000000000000000,12465.703653267344635,7426971.098269660957158,5
155,25460.000000000000000,3173011002,DURI KOSAMBI,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,94759.000000000000000,29150.000000000000000,5.980000000000000,15854.000000000000000,13387.788254415141637,5303542.782004071399570,0
156,25461.000000000000000,3173011003,RAWA BUAYA,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,78405.000000000000000,24888.000000000000000,3.750000000000000,20891.000000000000000,10315.330664993429309,3710530.671079156454653,0
157,25462.000000000000000,3173011004,KEDAUNG KALI ANGKE,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,40666.000000000000000,13335.000000000000000,3.040000000000000,13385.000000000000000,7920.599330114131590,3003817.086543320212513,2
158,25474.000000000000000,3173031003,MAPHAR,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,19914.000000000000000,7092.000000000000000,0.720000000000000,27578.000000000000000,4658.685080316482527,713987.651493084616959,1
159,25475.000000000000000,3173031004,TANGKI,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,15992.000000000000000,5769.000000000000000,0.390000000000000,40700.000000000000000,2556.028664968173871,388532.030416382767726,0
160,25465.000000000000000,3173021001,GROGOL,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,20792.000000000000000,6970.000000000000000,1.080000000000000,19338.000000000000000,4829.785867565696208,1063077.705243974691257,3
161,25467.000000000000000,3173021003,TOMANG,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,36093.000000000000000,12273.000000000000000,1.880000000000000,19174.000000000000000,5415.091895787226349,1861151.730992609169334,3
162,25479.000000000000000,3173031008,PINANGSIA,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,13136.000000000000000,4725.000000000000000,0.990000000000000,13222.000000000000000,5518.804874193875548,982444.786609944188967,3
163,25480.000000000000000,3173041001,TAMBORA,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,12805.000000000000000,4363.000000000000000,0.290000000000000,43784.000000000000000,2306.845976994601642,289184.788091480731964,0
164,25481.000000000000000,3173041002,KALI ANYAR,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,30229.000000000000000,9649.000000000000000,0.310000000000000,95971.000000000000000,2344.320031430789186,311436.964345103828236,0
165,25482.000000000000000,3173041003,DURI UTARA,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,24495.000000000000000,7767.000000000000000,0.370000000000000,65743.000000000000000,2521.409117367930776,368400.178900237835478,0
166,25483.000000000000000,3173041004,TANAH SEREAL,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,32249.000000000000000,10453.000000000000000,0.580000000000000,55438.000000000000000,3804.888506372414668,575181.365658142953180,0
167,25485.000000000000000,3173041006,JEMBATAN BESI,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,37262.000000000000000,12464.000000000000000,0.530000000000000,70490.000000000000000,2970.598490531231164,522679.144286056514829,1
168,25486.000000000000000,3173041007,ANGKE,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,36428.000000000000000,11829.000000000000000,0.800000000000000,45786.000000000000000,3762.874634841536135,786691.305927092558704,1
169,25487.000000000000000,3173041008,JEMBATAN LIMA,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,25893.000000000000000,8561.000000000000000,0.490000000000000,52395.000000000000000,2792.235500307989241,488649.993870981212240,0
170,25488.000000000000000,3173041009,PEKOJAN,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,28357.000000000000000,9563.000000000000000,0.790000000000000,35993.000000000000000,3440.113695653058585,779049.221425384166650,2
171,25489.000000000000000,3173041010,ROA MALAKA,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,4003.000000000000000,1491.000000000000000,0.540000000000000,7471.000000000000000,3297.457617879339523,529858.316641715937294,1
172,25490.000000000000000,3173041011,DURI SELATAN,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,17493.000000000000000,5498.000000000000000,0.390000000000000,45199.000000000000000,2435.318868609967467,382672.109943655435927,0
173,25588.000000000000000,3175021003,CIPINANG,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,CIPINANG,48703.000000000000000,16158.000000000000000,1.540000000000000,31669.000000000000000,5515.976011021353770,1520468.008050354896113,0
174,25491.000000000000000,3173051001,KEBON JERUK,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,65682.000000000000000,20482.000000000000000,3.870000000000000,16986.000000000000000,9093.403978899368667,3822580.816697636619210,1
175,25498.000000000000000,3173061001,KALIDERES,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,KALIDERES,88802.000000000000000,27910.000000000000000,5.160000000000000,17206.000000000000000,10427.495561986812390,5041404.426775194704533,2
176,25499.000000000000000,3173061002,SEMANAN,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,SEMANAN,88097.000000000000000,27586.000000000000000,5.290000000000000,16643.000000000000000,9710.596744017300807,5161695.614218155853450,0
177,25500.000000000000000,3173061003,TEGAL ALUR,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,TEGAL ALUR,103199.000000000000000,32968.000000000000000,7.610000000000000,13558.000000000000000,15413.005478047207362,7417481.159448295831680,0
178,25501.000000000000000,3173061004,KAMAL,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,KAMAL,65858.000000000000000,20554.000000000000000,3.140000000000000,20946.000000000000000,8149.995091387202592,2947037.770341173280030,0
179,25504.000000000000000,3173071002,SLIPI,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,SLIPI,20457.000000000000000,6565.000000000000000,0.990000000000000,20655.000000000000000,4191.066368468023938,979126.851964292000048,1
180,25505.000000000000000,3173071003,KOTA BAMBU UTARA,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU UTARA,31468.000000000000000,9779.000000000000000,0.690000000000000,45744.000000000000000,4561.181411381815451,680113.067549716331996,1
181,25506.000000000000000,3173071004,JATIPULO,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,JATIPULO,35771.000000000000000,11397.000000000000000,0.830000000000000,42917.000000000000000,4536.183660097289248,824052.195882105384953,1
182,25507.000000000000000,3173071005,KEMANGGISAN,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KEMANGGISAN,39419.000000000000000,12537.000000000000000,2.120000000000000,18585.000000000000000,7315.751937714282576,2096841.218780389288440,2
183,25511.000000000000000,3173081003,MERUYA SELATAN,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,39306.000000000000000,12025.000000000000000,3.210000000000000,12227.000000000000000,10449.266649380941089,3020407.697212530765682,0
184,25516.000000000000000,3174011002,TEBET BARAT,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,25585.000000000000000,8565.000000000000000,1.650000000000000,15500.000000000000000,6187.371530957444520,1631670.040729361586273,2
185,25513.000000000000000,3173081005,JOGLO,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,49663.000000000000000,15096.000000000000000,4.580000000000000,10842.000000000000000,11578.236661716327944,4453716.865572876296937,0
186,25514.000000000000000,3173081006,KEMBANGAN SELATAN,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,32372.000000000000000,10102.000000000000000,4.570000000000000,7078.000000000000000,14633.335000159688207,4510250.938941293396056,0
187,25515.000000000000000,3174011001,TEBET TIMUR,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,21645.000000000000000,7137.000000000000000,1.340000000000000,16179.000000000000000,5414.481715644954420,1322460.542899390915409,1
188,25597.000000000000000,3175031005,CIPINANG CEMPEDAK,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,39817.000000000000000,13113.000000000000000,1.690000000000000,23586.000000000000000,5930.647109482218184,1668775.646118183620274,2
189,25517.000000000000000,3174011003,MENTENG DALAM,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,44673.000000000000000,14739.000000000000000,2.540000000000000,17610.000000000000000,7195.694076612229765,2507735.368906451854855,1
190,25519.000000000000000,3174011005,BUKIT DURI,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,42224.000000000000000,13963.000000000000000,1.090000000000000,38756.000000000000000,5779.206467174145473,1077032.707088079769164,1
191,25521.000000000000000,3174011007,MANGGARAI,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,35357.000000000000000,11814.000000000000000,1.080000000000000,32711.000000000000000,4568.671774666950114,1068551.590286052320153,2
192,25525.000000000000000,3174021004,KARET,317402.000000000000000,DKI JAKARTA,JAKARTA SELATAN,SETIABUDI,KARET,11747.000000000000000,4101.000000000000000,0.940000000000000,12526.000000000000000,5610.156540150805995,927111.880870094755664,2
193,25536.000000000000000,3174041002,JATI PADANG,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,45928.000000000000000,14686.000000000000000,2.600000000000000,17682.000000000000000,7928.512018763615743,2566983.880214390344918,1
194,25532.000000000000000,3174031003,PELA MAMPANG,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,53495.000000000000000,17293.000000000000000,1.980000000000000,27028.000000000000000,6960.388258568505989,1956378.883983617648482,0
195,25533.000000000000000,3174031004,TEGAL PARANG,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,39961.000000000000000,12942.000000000000000,1.060000000000000,37862.000000000000000,4489.977204401039671,1043253.355250074644573,0
196,25534.000000000000000,3174031005,KUNINGAN BARAT,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,15788.000000000000000,5268.000000000000000,0.990000000000000,15984.000000000000000,5657.918620724673929,976353.364857916603796,4
197,25535.000000000000000,3174041001,PASAR MINGGU,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,30208.000000000000000,10009.000000000000000,1.920000000000000,15773.000000000000000,8344.886490745349874,1892778.471480646636337,0
198,25537.000000000000000,3174041003,CILANDAK TIMUR,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,31320.000000000000000,10588.000000000000000,3.890000000000000,8060.000000000000000,11476.359430246811826,3840380.943359902128577,0
199,25543.000000000000000,3174051002,PONDOK PINANG,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,67733.000000000000000,21208.000000000000000,6.870000000000000,9860.000000000000000,13610.245729582655258,6788792.144033100455999,3
200,25545.000000000000000,3174051004,GROGOL UTARA,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,52471.000000000000000,16968.000000000000000,3.340000000000000,15720.000000000000000,8121.967918170546000,3299608.158233310095966,1
201,25547.000000000000000,3174051006,KEBAYORAN LAMA SELATAN,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,50130.000000000000000,16077.000000000000000,2.360000000000000,21235.000000000000000,10430.618202663510601,2333242.287505563814193,2
202,25548.000000000000000,3174061001,CILANDAK BARAT,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,62119.000000000000000,20313.000000000000000,5.940000000000000,10458.000000000000000,11528.370403038599761,5869836.549856695346534,0
203,25549.000000000000000,3174061002,LEBAK BULUS,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,44645.000000000000000,14000.000000000000000,4.410000000000000,10125.000000000000000,13334.667375128696222,4346625.626688959077001,1
204,25553.000000000000000,3174071001,MELAWAI,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,3173.000000000000000,1082.000000000000000,1.290000000000000,2452.000000000000000,4709.527831123497890,1278871.589065948268399,3
205,25554.000000000000000,3174071002,GUNUNG,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,11180.000000000000000,3705.000000000000000,1.440000000000000,7785.000000000000000,5323.975622050880702,1419545.076904003042728,1
206,25555.000000000000000,3174071003,KRAMAT PELA,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,17564.000000000000000,5935.000000000000000,1.270000000000000,13800.000000000000000,5955.991326176166694,1257994.700520133133978,2
207,25556.000000000000000,3174071004,SELONG,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,3381.000000000000000,1227.000000000000000,1.450000000000000,2335.000000000000000,5599.007969458284606,1431021.374833803158253,2
208,25557.000000000000000,3174071005,RAWA BARAT,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,6646.000000000000000,2247.000000000000000,0.660000000000000,10088.000000000000000,3499.054881539549115,651180.406634980230592,0
209,25560.000000000000000,3174071008,PETOGOGAN,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,14002.000000000000000,4652.000000000000000,0.860000000000000,16232.000000000000000,4410.830050194093019,852664.158235424314626,2
